Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
"ATCS, Certified Professional Controller (CPC)(Level 12),AT-2152-LH",Federal Aviation Administration,"Westbury, New York",AT,179627,225700,2152,2026-01-07,2027-01-06,https://www.usajobs.gov:443/job/853637600
Accountant,Federal Aviation Administration,"Oklahoma City, Oklahoma",FV,62660,97132,0510,2026-05-07,2026-05-20,https://www.usajobs.gov:443/job/868030800
Accountant,Federal Aviation Administration,"Oklahoma City, Oklahoma",FV,75279,116689,0510,2026-05-07,2026-05-20,https://www.usajobs.gov:443/job/868034300
Administrative Officer,Federal Aviation Administration,"Belgium, Belgium",FV,53528,82976,0341,2026-05-06,2026-05-15,https://www.usajobs.gov:443/job/867935200
Administrative Officer,Federal Aviation Administration,"Vancouver, Washington",FV,67515,104658,0341,2026-04-30,2026-05-21,https://www.usajobs.gov:443/job/867300800
Aeronautical Information Specialist,Federal Aviation Administration,"Washington, District of Columbia",FG,85447,158322,1361,2026-04-29,2026-05-21,https://www.usajobs.gov:443/job/866956200
Air Traffic Assistant  (Flight Data Communication Specialist),Federal Aviation Administration,"Anchorage, Alaska",FV,61984,92980,2154,2026-04-28,2026-05-18,https://www.usajobs.gov:443/job/866891200
Air Traffic Assistant (Flight Data Communications Specialist),Federal Aviation Administration,"Olathe, Kansas",FV,55714,83574,2154,2026-04-24,2026-05-15,https://www.usajobs.gov:443/job/866424300
Air Traffic Control Specialist  (Staff Suport Specialist),Federal Aviation Administration,"Philadelphia, Pennsylvania",AT,169640,228000,2152,2026-05-02,2026-05-22,https://www.usajobs.gov:443/job/867665500
Air Traffic Control Specialist  (Staff Support Specialist),Federal Aviation Administration,"Kenai, Alaska",FV,85118,131940,2152,2026-04-25,2026-05-18,https://www.usajobs.gov:443/job/866700700
Air Traffic Control Specialist  (Staff Support Specialist),Federal Aviation Administration,"Kenai, Alaska",FV,85118,131940,2152,2026-04-25,2026-05-18,https://www.usajobs.gov:443/job/866701200
Air Traffic Control Specialist  (Traffic Management Coordinator),Federal Aviation Administration,"Memphis, Tennessee",AT,153950,207832,2152,2026-04-28,2026-05-18,https://www.usajobs.gov:443/job/866788600
Air Traffic Control Specialist (CPC),Federal Aviation Administration,"Elgin, Illinois",AT,170395,225700,2152,2025-09-30,2026-09-29,https://www.usajobs.gov:443/job/846824100
Air Traffic Control Specialist (CPC),Federal Aviation Administration,"Philadelphia, Pennsylvania",AT,167960,225700,2152,2025-12-19,2026-12-18,https://www.usajobs.gov:443/job/852892700
Air Traffic Control Specialist (Direct Hire Enhanced CTI Program/E-CTI),Federal Aviation Administration,"Saint Thomas, Virgin Islands",AT,47026,177543,2152,2025-10-03,2026-10-02,https://www.usajobs.gov:443/job/847388600
"Air Traffic Control Specialist (MSS-1, Level 10), Staff Support Specialist",Federal Aviation Administration,"Salt Lake City, Utah",AT,139307,188063,2152,2026-05-01,2026-05-21,https://www.usajobs.gov:443/job/867404800
Air Traffic Control Specialist (Traffic Management Coordinator),Federal Aviation Administration,"Hampton, Georgia",AT,162801,219781,2152,2026-05-02,2026-05-22,https://www.usajobs.gov:443/job/867602100
"Air Traffic Control Specialist, Traffic Management Coordinator",Federal Aviation Administration,"Farmington, Minnesota",AT,159842,215788,2152,2026-04-24,2026-05-15,https://www.usajobs.gov:443/job/866411200
"Air Traffic Control Specialist, Traffic Management Coordinator (AT-2152-KH)",Federal Aviation Administration,"Las Vegas, Nevada",AT,149758,202177,2152,2026-04-28,2026-05-18,https://www.usajobs.gov:443/job/866861400
Airway Transportation System Specialist  (SOC NOM),Federal Aviation Administration,"Memphis, Tennessee",FV,111779,173292,2101,2026-05-01,2026-05-22,https://www.usajobs.gov:443/job/867355600
Airway Transportation System Specialist (NOM),Federal Aviation Administration,"Nashua, New Hampshire",FV,126599,196267,2101,2026-04-28,2026-05-18,https://www.usajobs.gov:443/job/866717700
Airway Transportation System Specialist (Power Systems Requirements Specialist),Federal Aviation Administration,"Tutuila Island, American Samoa",FV,77351,119883,2101,2026-05-05,2026-05-14,https://www.usajobs.gov:443/job/867786900
Airway Transportation Systems Specialist,Federal Aviation Administration,"Englewood, Colorado",FV,83935,130106,2101,2026-05-02,2026-05-22,https://www.usajobs.gov:443/job/867674800
Airway Transportation Systems Specialist,Federal Aviation Administration,"Hampton, Georgia",FV,77351,119883,2101,2026-04-24,2026-05-14,https://www.usajobs.gov:443/job/866408900
Airway Transportation Systems Specialist,Federal Aviation Administration,"Salt Lake City, Utah",FV,90547,140335,2101,2026-04-25,2026-05-15,https://www.usajobs.gov:443/job/866570300
Airway Transportation Systems Specialist,Federal Aviation Administration,"Warrenton, Virginia",FV,127898,198281,2101,2026-04-29,2026-05-19,https://www.usajobs.gov:443/job/866899600
Airway Transportation Systems Specialist  ((TSOG) NAVAIDS),Federal Aviation Administration,"Indianapolis, Indiana",FV,77351,119883,2101,2026-05-06,2026-05-26,https://www.usajobs.gov:443/job/867720900
Airway Transportation Systems Specialist  ((TSOG) RADAR),Federal Aviation Administration,"Indianapolis, Indiana",FV,77351,119883,2101,2026-05-02,2026-05-22,https://www.usajobs.gov:443/job/867519100
Airway Transportation Systems Specialist  (NAV/COMM NASTEP),Federal Aviation Administration,"Burlington, Massachusetts",FV,77351,119883,2101,2026-05-05,2026-05-26,https://www.usajobs.gov:443/job/867690200
Airway Transportation Systems Specialist  (NAV/COMM),Federal Aviation Administration,"Jonesboro, Arkansas",FV,77351,119883,2101,2026-04-30,2026-05-20,https://www.usajobs.gov:443/job/867233600
Airway Transportation Systems Specialist  (SS ATSS (STARS)),Federal Aviation Administration,"Pensacola, Florida",FV,90547,140335,2101,2026-04-30,2026-05-22,https://www.usajobs.gov:443/job/867142500
Airway Transportation Systems Specialist  (SSC Coordinator),Federal Aviation Administration,"Houston, Texas",FV,104424,161842,2101,2026-04-24,2026-05-14,https://www.usajobs.gov:443/job/866343800
Airway Transportation Systems Specialist ((TSOG) NAVAIDS),Federal Aviation Administration,"Belleville, Michigan",FV,77351,119883,2101,2026-04-29,2026-05-20,https://www.usajobs.gov:443/job/866900800
Airway Transportation Systems Specialist (COORDINATOR),Federal Aviation Administration,"Anchorage, Alaska",FV,102382,158677,2101,2026-04-16,2026-05-18,https://www.usajobs.gov:443/job/865376800
Airway Transportation Systems Specialist (COORDINATOR),Federal Aviation Administration,"Anchorage, Alaska",FV,102382,158677,2101,2026-04-24,2026-05-22,https://www.usajobs.gov:443/job/866357200
