Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
Computer Scientist (Informatics),Centers for Disease Control and Prevention,"Bruceton, Pennsylvania",GS,110047,143062,1550,2026-08-04,2026-08-17,https://www.usajobs.gov:443/job/879007500
"Director, National Center for Health Statistics (NCHS)",Centers for Disease Control and Prevention,"Hyattsville, Maryland",RF,197200,275000,0601,2026-07-16,2026-08-06,https://www.usajobs.gov:443/job/875831300
Lead Health Assessment Specialist,Centers for Disease Control and Prevention,"Morgantown, West Virginia",GS,61722,80243,0301,2026-08-06,2026-08-17,https://www.usajobs.gov:443/job/879366600
Physical Security Specialist,Centers for Disease Control and Prevention,"Pittsburgh, Pennsylvania",GS,110047,143062,0080,2026-08-05,2026-08-12,https://www.usajobs.gov:443/job/879142700
Physician (Public Health),Centers for Disease Control and Prevention,"Atlanta, Georgia",GP,90925,118204,0602,2026-07-27,2026-08-09,https://www.usajobs.gov:443/job/877523200
Program Operations Assistant,Centers for Disease Control and Prevention,"Bruceton, Pennsylvania",GS,52171,67824,0303,2026-08-06,2026-08-19,https://www.usajobs.gov:443/job/879404600
Program Specialist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0301,2026-08-03,2026-08-12,https://www.usajobs.gov:443/job/878813600
Program and Resource Manager,Centers for Disease Control and Prevention,"Washington, District of Columbia",GS,90925,118204,0301,2026-08-04,2026-08-10,https://www.usajobs.gov:443/job/878982800
Research Epidemiologist,Centers for Disease Control and Prevention,"Morgantown, West Virginia",GS,125776,163514,0601,2026-08-06,2026-08-10,https://www.usajobs.gov:443/job/879177800
Research Science Officer,Centers for Disease Control and Prevention,"Morgantown, West Virginia",GS,147945,192331,0601,2026-08-06,2026-08-11,https://www.usajobs.gov:443/job/879227900
Safety and Occupational Health Specialist,Centers for Disease Control and Prevention,"Cincinnati, Ohio",GS,63795,99404,0018,2026-08-05,2026-08-13,https://www.usajobs.gov:443/job/878926400
Supervisory Research Health Scientist,Centers for Disease Control and Prevention,"Decatur, Georgia",GS,156451,197200,0601,2026-07-30,2026-08-10,https://www.usajobs.gov:443/job/878497900
Supervisory Research Industrial Hygienist,Centers for Disease Control and Prevention,"Spokane, Washington",GS,126432,164366,0690,2026-08-06,2026-08-17,https://www.usajobs.gov:443/job/879443600
Supervisory Research Industrial Hygienist,Centers for Disease Control and Prevention,"Spokane, Washington",GS,126432,164366,0690,2026-08-06,2026-08-17,https://www.usajobs.gov:443/job/879443900
Technical Information Specialist,Centers for Disease Control and Prevention,"Pittsburgh, Pennsylvania",GS,110047,143062,1412,2026-08-04,2026-08-14,https://www.usajobs.gov:443/job/879028400
